date,sp500_price,dividend,earnings,cpi,date_fraction,gs10,real_price,real_dividend,real_total_return_price,real_earnings,real_tr_scaled_earnings,cape,tr_cape,ecy,monthly_total_bond_returns,real_total_bond_returns,ten_year_annualized_stock_real_return,ten_year_annualized_bonds_real_return,real_10_year_excess_annualized_returns,real_earnings_lag6,nominal_earnings_lag6,cape_lagE,earnings_yield,log_ey,cpi_lag2,infl_ann,exp_infl_10y,real_yield,log_real_yield,yoy_inflation,log_yoy_inflation,sp_ret,sp_vol_12m,log_sp_vol,d_real_yield,ry_vol_12m,log_ry_vol,log_nominal_earnings_growth,nominal_earnings_growth_30y_avg,nominal_earnings_growth_hist_avg,real_dividend_lag6,real_dividend_ttm,dividend_yield,earnings_ttm,payout_ratio,current_payout_ratio,nominal_total_return_price,ten_year_annualized_stock_nominal_return
1871-01-01,4.44,0.26,0.4,12.46406116,1871.0416666666667,5.32,116.81828830178816,6.840710576230838,116.81828830178816,10.524170117278212,10.524170117278212,,,,1.0041769357097787,1.0,0.1306094459642568,0.0925036763520992,0.0381057696121576,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.44,0.09938312852174414
1871-02-01,4.5,0.26,0.4,12.84464132,1871.125,5.323333333333333,114.88887375175068,6.6380238167678165,115.44204240314798,10.212344333488948,10.26151488027982,,,,1.0041797523411402,0.974423686137471,0.1308584817139513,0.0946346343445094,0.0362238473694418,,,,,,,,,,,,,0.01342302033214055,,,,,,,,,,,,,,,4.5216666666666665,0.09742549956436775
1871-03-01,4.61,0.26,0.4,13.0349719,1871.2083333333333,5.326666666666667,115.97870782521596,6.541098489057733,117.08483988143657,10.063228444704205,10.159205195786248,,,,1.0041825689642252,0.964208985788574,0.1309508729293516,0.0961859956344644,0.0347648772948872,,,,,,12.46406116,,,,,,,0.024150460232283122,,,,,,,,,,,,,,,4.653967283950617,0.0959019906416596
1871-04-01,4.74,0.26,0.4,12.55922645,1871.2916666666663,5.33,123.76643746239642,6.7888763165027575,125.51797935439528,10.444425102311934,10.592234544674708,,,,1.0041853855790357,1.004919008380089,0.122056037619699,0.0909719062390226,0.0310841313806764,,,,,,12.84464132,0.36092772501519865,,,,,,0.027809278698427923,,,,,,,,,,,,,,,4.807080452005392,0.09241864180427495
1871-05-01,4.86,0.26,0.4,12.27381157,1871.375,5.333333333333334,129.85068867241867,6.946744661487418,132.2754227641837,10.687299479211411,10.886866071126232,,,,1.0041882021855737,1.0325911467539233,0.1226380989022473,0.0894884371904101,0.0331496617118372,,,,,,13.0349719,0.17651022218795864,,,,,,0.025001302205417186,,,,,,,,,,,,,,,4.950751984502037,0.09441192652544084
1871-06-01,4.82,0.26,0.4,12.08348099,1871.458333333333,5.336666666666667,130.81044247995297,7.056164947051404,133.85209216442365,10.855638380079084,11.108057441031008,,,,1.0041910187838414,1.0532486237736511,0.1230927999411206,0.0877249110195437,0.0353678889215769,,,,,,12.55922645,-0.4461638505715928,,,,,,-0.008264509849893424,,,,,,,,,,,,,,,4.932076308291638,0.09656763170283145
1871-07-01,4.73,0.26,0.4,12.08348099,1871.5416666666663,5.34,128.36792384443518,7.056164947051404,131.9544656849142,10.855638380079084,11.158940015637564,,,,1.0041938353738404,1.0576628085399415,0.1200218156656074,0.0865808561499854,0.0334409595156219,10.524170117278212,0.4,,,,12.27381157,-0.2758526265846243,,,,,,-0.01884872555866727,,,,,,,,,6.840710576230838,,,,,17.101776440577094,4.8621540646402,0.09465715571545696
1871-08-01,4.79,0.26,0.4,11.8932314,1871.6249999999995,5.343333333333334,132.07574961502894,7.169038601233304,136.37999795891332,11.029290155743544,11.388726343124285,,,,1.004196651955573,1.0790882870419878,0.1119330102800664,0.0826686109451892,0.0292643993348771,10.212344333488948,0.4,,,,12.08348099,-0.1875424735869766,,,,,,0.01260520891898219,,,,,,,,,6.6380238167678165,,,,,16.59505954191954,4.946102461105094,0.09061444147154951
1871-09-01,4.84,0.26,0.4,12.17864628,1871.7083333333328,5.346666666666668,130.3268157649456,7.001027293158234,135.1764998044677,10.770811220243438,11.17161155408824,,,,1.0041994685290414,1.0582215453478223,0.1100282054405363,0.0810479047842331,0.0289803006563031,10.063228444704205,0.4,,,,12.08348099,0.0,,,,,,0.01038430930571639,,,,,,,,,6.541098489057733,,,,,16.35274622264433,5.020104689994279,0.0903134394684093
1871-10-01,4.59,0.26,0.4,12.36889587,1871.791666666666,5.3500000000000005,121.69400715473888,6.893342453209609,126.8182708939311,10.605142235707092,11.05170116722711,,,,1.0042022850942474,1.046320345645266,0.1147652576791016,0.0816526521247267,0.0331126055543748,10.444425102311934,0.4,,,,11.8932314,-0.19043836848975626,,,,,,-0.053034696656086545,,,,,,,,,6.7888763165027575,,,,,16.972190791256892,4.783274682236285,0.09428807270427386
