date,sp500_price,dividend,earnings,cpi,date_fraction,gs10,real_price,real_dividend,real_total_return_price,real_earnings,real_tr_scaled_earnings,cape,tr_cape,ecy,monthly_total_bond_returns,real_total_bond_returns,ten_year_annualized_stock_real_return,ten_year_annualized_bonds_real_return,real_10_year_excess_annualized_returns
1871-01-01,4.44,0.26,0.4,12.46406116,1871.0416666666667,5.32,116.81828830178816,6.840710576230838,116.81828830178816,10.524170117278212,10.524170117278212,,,,1.0041769357097787,1.0,0.13060944596425683,0.09250367635209922,0.038105769612157614
1871-02-01,4.5,0.26,0.4,12.84464132,1871.125,5.323333333333333,114.88887375175067,6.6380238167678165,115.44204240314798,10.212344333488948,10.26151488027982,,,,1.0041797523411402,0.974423686137471,0.1308584817139513,0.09463463434450947,0.03622384736944184
1871-03-01,4.61,0.26,0.4,13.0349719,1871.2083333333333,5.326666666666667,115.97870782521596,6.541098489057733,117.08483988143655,10.063228444704203,10.159205195786248,,,,1.0041825689642252,0.9642089857885741,0.1309508729293516,0.0961859956344644,0.0347648772948872
1871-04-01,4.74,0.26,0.4,12.55922645,1871.2916666666665,5.33,123.76643746239642,6.7888763165027575,125.51797935439528,10.444425102311934,10.592234544674707,,,,1.0041853855790357,1.004919008380089,0.12205603761969908,0.09097190623902263,0.03108413138067645
1871-05-01,4.86,0.26,0.4,12.27381157,1871.3749999999998,5.333333333333334,129.85068867241867,6.946744661487418,132.2754227641837,10.687299479211413,10.886866071126232,,,,1.0041882021855737,1.0325911467539233,0.1226380989022473,0.08948843719041011,0.0331496617118372
1871-06-01,4.82,0.26,0.4,12.08348099,1871.458333333333,5.336666666666667,130.81044247995297,7.056164947051404,133.85209216442365,10.855638380079084,11.108057441031008,,,,1.0041910187838414,1.0532486237736511,0.12309279994112066,0.08772491101954372,0.03536788892157694
1871-07-01,4.73,0.26,0.4,12.08348099,1871.5416666666663,5.34,128.36792384443518,7.056164947051404,131.9544656849142,10.855638380079084,11.158940015637564,,,,1.0041938353738404,1.0576628085399415,0.12002181566560743,0.08658085614998545,0.03344095951562198
1871-08-01,4.79,0.26,0.4,11.8932314,1871.6249999999995,5.343333333333334,132.07574961502894,7.169038601233304,136.37999795891332,11.029290155743544,11.388726343124285,,,,1.004196651955573,1.0790882870419878,0.11193301028006641,0.08266861094518929,0.029264399334877123
1871-09-01,4.84,0.26,0.4,12.17864628,1871.7083333333328,5.346666666666668,130.3268157649456,7.001027293158234,135.1764998044677,10.770811220243438,11.17161155408824,,,,1.0041994685290414,1.0582215453478223,0.11002820544053638,0.08104790478423318,0.028980300656303193
1871-10-01,4.59,0.26,0.4,12.36889587,1871.791666666666,5.3500000000000005,121.69400715473888,6.893342453209609,126.8182708939311,10.605142235707092,11.05170116722711,,,,1.0042022850942474,1.046320345645266,0.11476525767910162,0.08165265212472672,0.033112605554374896
