Date,Predicted,Actual,Lower,Upper,Lpds
2000-07-01,0.02746189812538667,-0.0125809720167895,-0.2748628777317497,0.23215170167030408,1.0644865298984012
2000-08-01,0.026659661145195166,-0.0126540136074017,-0.2772398590547212,0.23230003881414427,0.9692173107499414
2000-09-01,0.032263754330627746,-0.0082976150379896,-0.2606802636994562,0.2312638173515747,0.8294997688484892
2000-10-01,0.04704173127999537,0.001500804598024,-0.21705459777509656,0.22735380732275498,0.9262140423300491
2000-11-01,0.050493617624630595,0.0047479162165675,-0.20686437749015024,0.2263319954877538,0.8615606449916603
2000-12-01,0.05943226277674993,0.0118300009554719,-0.18047684497749186,0.2233158515136961,1.093636134906198
2001-01-01,0.07887110940875898,0.0148211017999393,-0.07947297301386302,0.20170828336009788,0.8376100996515372
2001-02-01,0.08475017788380286,0.0201769562353018,-0.06470744354370811,0.20104547261373254,1.3634679584670195
2001-03-01,0.10239134691411071,0.028785011995394,-0.020410839369129803,0.19905659351471022,1.1377186026650312
2001-04-01,0.1034004101008874,0.0305885459109993,-0.01787710294298972,0.19894283094725648,1.1404006572119783
2001-05-01,0.09432056640147571,0.0244302286305919,-0.04067639938580946,0.199966499578577,1.2324952802097737
2001-06-01,0.09963133273692126,0.0230879511688433,-0.027341176883222094,0.19936775965685116,1.2615843622582354
2001-07-01,0.025646642391828872,0.0289902230855942,-0.07568311195657587,0.10181423183465425,2.0192099499161387
2001-08-01,0.033508281392496994,0.0198592735065588,-0.06250380647065479,0.10577993712693334,1.8487597969647072
2001-09-01,0.06934095115638782,0.0312851958968307,-0.0023823310484655134,0.12448599183321611,1.6814405148282858
2001-10-01,0.0614487095976858,0.0311230007639899,-0.015478717762589873,0.12032142979708955,1.9208021035859852
2001-11-01,0.04862551535750216,0.0278542716310263,-0.03683853677312827,0.11342229814990382,2.219035069820209
2001-12-01,0.044432540991034046,0.0279469570753394,-0.044027210083109475,0.11125792047182056,1.9967701835182956
2002-01-01,-0.017817170509892632,0.0330704639431655,-0.09204829420170066,0.03771215431922947,1.6394424389878355
2002-02-01,-0.0011590001102554843,0.0408377100926178,-0.06856235622536475,0.049795776717084225,1.8480018902187931
2002-03-01,-0.017620075444552356,0.0387768316330814,-0.09176678860932064,0.03784970184938947,1.1942614155687394
2002-04-01,0.00012388880785442233,0.0424612680993994,-0.06677329323797028,0.050753350781061655,2.1309098191997795
2002-05-01,0.012212790320599224,0.0421719069015509,-0.04992981114867212,0.05936397482051212,2.0854451125391953
2002-06-01,0.03608559632534994,0.0473388074849168,-0.015976192688283,0.07680579617363455,2.476319056791547
2002-07-01,0.06421851347042913,0.0623861259164368,0.036967857670320584,0.08873299117166195,2.4856775469747965
2002-08-01,0.06216956632135658,0.0647285733672036,0.03443788488373477,0.0871080414194515,2.5196609212700336
2002-09-01,0.0808426011391714,0.0731241642350779,0.057334605852043155,0.10174459222495064,2.419098105911614
2002-10-01,0.08694023128044569,0.0743712438694055,0.0650749904589148,0.1068228176514874,2.4845292839404722
2002-11-01,0.0653940153671487,0.0644350903068353,0.03841572676837901,0.08966524143329611,2.5938810606115856
2002-12-01,0.06923539405540335,0.0678414703775289,0.04303714165952216,0.0926300271990837,2.664664277687272
2003-01-01,0.05143880082085959,0.0725546946432824,0.030637884509269617,0.0707430039671029,2.5075783492893464
2003-02-01,0.08315465602910521,0.0821832220756453,0.06744200247641087,0.09821272374267176,2.4710581853586526
2003-03-01,0.08159397243369275,0.0836859904444282,0.06565102171606868,0.09685586705862345,2.631500271802815
2003-04-01,0.06078060763672052,0.079677969487196,0.04150867559566266,0.07869167563708027,2.5182897867622662
2003-05-01,0.0388573744301371,0.0789212995793566,0.016053476711420496,0.06011324615919224,1.6669040135690794
2003-06-01,0.015169247929871307,0.071749514975774,-0.011839424543896113,0.039642955526988474,0.6204152412242416
2003-07-01,0.010132401383086851,0.0745495885839102,-0.012687006216331584,0.03127449299999065,0.2760402991182978
2003-08-01,0.013822108782518744,0.0750003185230463,-0.008399660494392997,0.03457330785452351,0.33638641548493
2003-09-01,0.0015726917730465794,0.0729317356708625,-0.02224866893983118,0.023966167006048453,0.22682039461210501
2003-10-01,-0.0074755593591220885,0.0730247776568078,-0.03249739019893075,0.01618825272344227,-0.7353613329860024
2003-11-01,-0.013282565979581612,0.0757998175497545,-0.039024269880586396,0.011168304583337903,-1.0775575005733562
2003-12-01,-0.02744028270152366,0.0741779167642473,-0.05476763906529686,-0.0012234329082824497,-3.701483111233852
2004-01-01,-0.03151795107995461,0.0700464759270558,-0.05836789792616322,-0.006532337527842743,-7.657537912418928
2004-02-01,-0.03236610833343909,0.068751907380492,-0.059339998544598226,-0.0072709222120628915,-1.6038012396101415
2004-03-01,-0.01965768931461246,0.0733185164972756,-0.044835342119353576,0.0038059008066980145,-0.7856308315871244
2004-04-01,-0.02059091262046742,0.0725013145907342,-0.045898189746595215,0.0029855406961504186,-2.8604534639936032
2004-05-01,-0.0031266974332396493,0.0769273578561096,-0.025757835291417525,0.01856059714256848,0.021353644721180565
2004-06-01,-0.01218674444274249,0.0772816276997701,-0.03629348432731827,0.010484008513903045,-1.1670525288278633
2004-07-01,0.010027530854418373,0.0813280675657837,-0.009710796388862273,0.029416325885484176,-0.5032057077662329
2004-08-01,0.018779430360542283,0.0823769937874689,0.00044164307755334886,0.03700604343623118,0.14355093804105476
2004-09-01,0.010510396918236738,0.0813145707711611,-0.009150658731903091,0.029835071214616208,-0.1432129796325716
2004-10-01,0.014920812982972936,0.0783082544770765,-0.004034457147594452,0.03365981945232191,0.3071842349605298
2004-11-01,-0.0025893594043333093,0.079264053528838,-0.024346729367383795,0.018339814813148163,-0.4584349401324821
2004-12-01,-0.013678916859516466,0.0770447884922094,-0.037175001512687274,0.008371846536594604,-0.8000633359755404
2005-01-01,-0.0016848794229699195,0.0773056502540643,-0.022587789873344477,0.01794564572833196,0.027412393602049327
2005-02-01,-0.003920355075950387,0.0785139137794523,-0.025140131223261367,0.01597030023582044,-1.8015060990801866
2005-03-01,0.003170650153600629,0.0788496600362211,-0.01699683583393559,0.022207101081496372,-1.9920475612859816
2005-04-01,0.01885302952503018,0.0824293240003795,0.001220797708527058,0.036104756024018914,-0.1508911321581535
2005-05-01,0.015069019853893383,0.0820469590589085,-0.0031898279581816093,0.032700754231885266,0.050360813558692784
2005-06-01,0.008263867782889964,0.0792436608247864,-0.011102682829824984,0.026687070122405912,-0.18470118514244643
2005-07-01,0.018436483049863638,0.0772257318551425,0.0014346922402395687,0.03565719247669389,0.7862827096358203
2005-08-01,0.021169998118694165,0.0742524068971037,0.004587433529151744,0.03802897836104427,1.0009683130116442
2005-09-01,0.026672290647777368,0.0690108016087887,0.01093358652385062,0.04281034298930505,1.2766541483592158
2005-10-01,0.039329610791001855,0.0763966126326798,0.025082533453534842,0.05390926050375357,1.7021997361848127
2005-11-01,0.023394059697273054,0.0753258093912581,0.007152588866257164,0.03996113920658628,1.2178484498674185
2005-12-01,0.015435975669939574,0.0718570107850344,-0.002025988702126459,0.033053745680025,1.336553634591648
2006-01-01,0.042028601811615884,0.0632189997762644,0.027079834756225076,0.05733893557727067,2.318151160919337
2006-02-01,0.044268164333056026,0.0626500228346131,0.029614881233431097,0.059239656224495306,2.433040446628258
2006-03-01,0.04299665272826846,0.0676485150804855,0.028168779808874826,0.05816052209125782,2.0257709883753625
2006-04-01,0.04480212553748441,0.0697818069091673,0.0302427733551618,0.059692830036951014,1.9825230764283568
2006-05-01,0.050437661486746145,0.0703000021535087,0.03665967638971458,0.06455541887660064,2.0883767550453527
2006-06-01,0.06091365556943299,0.0743783475987787,0.04847575476174663,0.07365630262031568,2.35145242217503
2006-07-01,0.07479656196411834,0.0770957246541765,0.06390411967485539,0.0856177122828457,2.487887865050676
2006-08-01,0.07136686654651679,0.0759390455019137,0.06008508809707827,0.0827346223272715,2.4513341072280825
2006-09-01,0.06564790010267349,0.0727804701828505,0.053528505227424035,0.07762973700688976,2.4898172719214333
2006-10-01,0.05696882857147392,0.0684337485511121,0.043441871479538624,0.07003764590440424,2.450138735694645
2006-11-01,0.05310791032401464,0.0675915464553924,0.03903619782562287,0.0666932470425733,2.3645225529475873
2006-12-01,0.04958783249043557,0.0694549270946653,0.035093743544686556,0.06363106607278081,2.26418835403338
2007-01-01,0.06003741500758091,0.0702429799965194,0.0473401314568112,0.07230231075095425,2.702124805252278
2007-02-01,0.05910420464856322,0.0712709145267596,0.0462633093934002,0.07148310460872744,2.54242031682625
